Lobbyist,Client,Position,Start date,End date,Bill #,Subject
August Policy Strategies,Centura Health,Amending,02/12/2024,06/30/2024,HB24-1153,Physician Continuing Education
"Schmidt, Alyson",Coloradans For Legal Freedom,Monitoring,02/05/2024,06/30/2024,HB24-1153,Physician Continuing Education
"Biehle, Ryan",Colorado Academy of Family Physicians,Monitoring,04/04/2024,06/30/2024,HB24-1153,Physician Continuing Education
Emma Hudson Consulting LLC,Colorado Academy of Family Physicians,Monitoring,04/07/2024,06/30/2024,HB24-1153,Physician Continuing Education
"Novel Strategies, LLC",Colorado Academy of Family Physicians,Monitoring,04/04/2024,06/30/2024,HB24-1153,Physician Continuing Education
"Gold Leaf Strategies, LLC",Colorado Association of Family Medicine Residencies/Colorado Commission on Family Medicine,Monitoring,03/05/2024,06/30/2024,HB24-1153,Physician Continuing Education
Cherry Point Strategies,Colorado Chapter College of Emergency Physicans,Amending,02/07/2024,06/30/2024,HB24-1153,Physician Continuing Education
BRANDEBERRY MCKENNA PUBLIC AFFAIRS,Colorado Hospital Association,Monitoring,04/01/2024,06/30/2024,HB24-1153,Physician Continuing Education
"BRANDEBERRY, JENIFER",Colorado Hospital Association,Monitoring,04/01/2024,06/30/2024,HB24-1153,Physician Continuing Education
"Frazier, Bridget",Colorado Hospital Association,Monitoring,04/01/2024,06/30/2024,HB24-1153,Physician Continuing Education
"MCKENNA, JULIE",Colorado Hospital Association,Monitoring,04/01/2024,06/30/2024,HB24-1153,Physician Continuing Education
"Mizer, Susanna",Colorado Hospital Association,Monitoring,02/11/2024,06/30/2024,HB24-1153,Physician Continuing Education
Cherry Point Strategies,Colorado Medical Society,Amending,02/11/2024,06/30/2024,HB24-1153,Physician Continuing Education
"Hebeler & Hamilton, Inc.",Colorado Orthopaedic Society,Amending,02/13/2024,06/30/2024,HB24-1153,Physician Continuing Education
Cherry Point Strategies,Colorado Orthopedics Society,Amending,02/11/2024,06/30/2024,HB24-1153,Physician Continuing Education
"Mendez, Barkis and Associates",Colorado Psychiatric Society,Amending,02/14/2024,06/30/2024,HB24-1153,Physician Continuing Education
"Mendez, Florangel M",Colorado Psychiatric Society,Amending,02/14/2024,06/30/2024,HB24-1153,Physician Continuing Education
"Weaver-Hayes, Anna",Colorado Psychiatric Society,Amending,02/12/2024,06/30/2024,HB24-1153,Physician Continuing Education
"Erb Zager, Kelly",Colorado Rural Health Center,Monitoring,02/13/2024,06/30/2024,HB24-1153,Physician Continuing Education
REES CONSULTING AND PUBLIC AFFAIRS,Common Spirit,Monitoring,03/25/2024,06/30/2024,HB24-1153,Physician Continuing Education
August Policy Strategies,CommonSpirit,Monitoring,03/25/2024,06/30/2024,HB24-1153,Physician Continuing Education
Cavan Consulting,Craig Hospital,Monitoring,03/22/2024,06/30/2024,HB24-1153,Physician Continuing Education
Denver Health,Denver Health,Supporting,03/08/2024,06/30/2024,HB24-1153,Physician Continuing Education
"Howes, Angela Baker",Denver Health,Amending,02/19/2024,06/30/2024,HB24-1153,Physician Continuing Education
"Wolf, Kathryn",Denver Health,Supporting,03/08/2024,06/30/2024,HB24-1153,Physician Continuing Education
"GOFF, ERIN E",HCA - THE HEALTHCARE COMPANY,Amending,02/24/2024,06/30/2024,HB24-1153,Physician Continuing Education
"HACKENBERGER, MICKI M",HCA - THE HEALTHCARE COMPANY,Amending,02/01/2024,06/30/2024,HB24-1153,Physician Continuing Education
"Hogan, Mary K",HCA Management Services,Supporting,03/15/2024,06/30/2024,HB24-1153,Physician Continuing Education
"Capitol Focus, LLC",HCA-THE HEALTHCARE COMPANY,Amending,02/12/2024,06/30/2024,HB24-1153,Physician Continuing Education
"Gates, Landon",HCA-THE HEALTHCARE COMPANY,Amending,02/12/2024,06/30/2024,HB24-1153,Physician Continuing Education
"Herzberg, Brock",HCA-THE HEALTHCARE COMPANY,Amending,02/12/2024,06/30/2024,HB24-1153,Physician Continuing Education
"LaBriola, Lisa",HCA-The Health Care Co,Amending,02/01/2024,06/30/2024,HB24-1153,Physician Continuing Education
"Hackenberger, Carrie",HEALTHONE/HCA,Amending,02/01/2024,06/30/2024,HB24-1153,Physician Continuing Education
"Navas, David",Health District of Northern Larimer County,Monitoring,02/21/2024,06/30/2024,HB24-1153,Physician Continuing Education
Husch Blackwell Strategies,HealthONE/HCA,Amending,02/01/2024,06/30/2024,HB24-1153,Physician Continuing Education
"Lo, Elizabeth",HealthOne (HCA),Amending,02/01/2024,06/30/2024,HB24-1153,Physician Continuing Education
"Neimond, Kevin",HealthOne/HCA,Amending,02/01/2024,06/30/2024,HB24-1153,Physician Continuing Education
"Nuechterlein, Samantha Anne",Intermountain Healthcare,Monitoring,03/25/2024,06/30/2024,HB24-1153,Physician Continuing Education
"Groves, Shannon E",Kaiser Foundation Health Plan,Monitoring,03/19/2024,06/30/2024,HB24-1153,Physician Continuing Education
"Burkhart, Amber Janelle",One Colorado,Monitoring,02/15/2024,06/30/2024,HB24-1153,Physician Continuing Education
"COYNE, WILLIAM C",One Colorado,Monitoring,02/15/2024,06/30/2024,HB24-1153,Physician Continuing Education
"EICHBERG, ADAM",One Colorado,Monitoring,02/15/2024,06/30/2024,HB24-1153,Physician Continuing Education
Headwaters Strategies,One Colorado,Monitoring,02/15/2024,06/30/2024,HB24-1153,Physician Continuing Education
"Schmidt, Alyson",One Colorado,Monitoring,02/15/2024,06/30/2024,HB24-1153,Physician Continuing Education
"O'Connell, Daniel T.","Optum, Inc.",Amending,02/09/2024,06/30/2024,HB24-1153,Physician Continuing Education
"Capitol Focus, LLC",Rocky Mountain Cancer Centers,Monitoring,01/30/2024,06/30/2024,HB24-1153,Physician Continuing Education
"Gates, Landon",Rocky Mountain Cancer Centers,Monitoring,01/30/2024,06/30/2024,HB24-1153,Physician Continuing Education
"Herzberg, Brock",Rocky Mountain Cancer Centers,Monitoring,01/30/2024,06/30/2024,HB24-1153,Physician Continuing Education
"Cook, Mariah Catherine",UC Health,Monitoring,02/14/2024,06/30/2024,HB24-1153,Physician Continuing Education
Sewald Hanfling Public Affairs,UC Health,Monitoring,02/14/2024,06/30/2024,HB24-1153,Physician Continuing Education
"Sewald, R.D.",UCHealth,Monitoring,02/15/2024,06/30/2024,HB24-1153,Physician Continuing Education
"TIBBALS, KAYLA",United Health Care/United Health Group,Amending,02/09/2024,06/30/2024,HB24-1153,Physician Continuing Education
"Blaney, Emmett R",Young Invincibles,Supporting,04/30/2024,06/30/2024,HB24-1153,Physician Continuing Education
"Zaslow, Zachary Aaron",Children's Hospital Colorado,Amending,02/14/2024,06/12/2024,HB24-1153,Physician Continuing Education
"APONTE, RUTH",American Academy of Pediatrics ( AAP),Amending,02/14/2024,05/31/2024,HB24-1153,Physician Continuing Education
"Aponte Public Affairs, Inc.",American Academy of Pediatrics ( AAP),Monitoring,03/26/2024,05/31/2024,HB24-1153,Physician Continuing Education
"Fearn, Austin",American Academy of Pediatrics (AAP),Monitoring,03/26/2024,05/31/2024,HB24-1153,Physician Continuing Education
"Richard G Brown Enterprises, Inc.",COLORADO OBSTETRICAL AND GYNECOLOGICAL SOCIETY,Monitoring,01/31/2024,05/31/2024,HB24-1153,Physician Continuing Education
"APONTE, RUTH",Children's Hospital Colorado (CHCO),Amending,02/14/2024,05/31/2024,HB24-1153,Physician Continuing Education
"Aponte Public Affairs, Inc.",Children's Hospital Colorado (CHCO),Monitoring,03/26/2024,05/31/2024,HB24-1153,Physician Continuing Education
"Fearn, Austin",Children's Hospital Colorado (CHCO),Monitoring,03/26/2024,05/31/2024,HB24-1153,Physician Continuing Education
"Hanson, Emily Stewart",Colorado Department of Human Services,,02/01/2024,05/31/2024,HB24-1153,Physician Continuing Education
"Gorenc, Matthew A",Colorado Department of Regulatory Agencies,,02/01/2024,05/31/2024,HB24-1153,Physician Continuing Education
"Aponte Public Affairs, Inc.",Colorado Radiological Society (CRS),Monitoring,04/25/2024,05/31/2024,HB24-1153,Physician Continuing Education
"BUSAM, EDIE A",Colorado Radiological Society (CRS),Opposing,02/16/2024,05/31/2024,HB24-1153,Physician Continuing Education
"BUSAM, EDIE A",Colorado Society of Anesthesiologists (CSA),Amending,02/25/2024,05/31/2024,HB24-1153,Physician Continuing Education
"Aponte Public Affairs, Inc.",Colorado Society of Anesthesiology (CSA),Monitoring,04/25/2024,05/31/2024,HB24-1153,Physician Continuing Education
"Aponte Public Affairs, Inc.",Pediatrix Medical Group (PMG),Monitoring,01/30/2024,05/31/2024,HB24-1153,Physician Continuing Education
"BUSAM, EDIE A",Pediatrix Medical Group (PMG),Monitoring,01/30/2024,05/31/2024,HB24-1153,Physician Continuing Education
"Richard G Brown Enterprises, Inc.",THE DOCTORS COMPANY,Monitoring,01/31/2024,05/31/2024,HB24-1153,Physician Continuing Education
"Ewing, Joshua",Colorado Hospital Association,Amending,02/09/2024,05/16/2024,HB24-1153,Physician Continuing Education
"Ewing, Joshua",Colorado Hospital Association,Monitoring,04/01/2024,05/16/2024,HB24-1153,Physician Continuing Education
"Staberg, Christine R",Intermountain Healthcare,Monitoring,03/25/2024,05/08/2024,HB24-1153,Physician Continuing Education
"The Capstone Group, LLC",Intermountain Healthcare,Monitoring,03/25/2024,05/08/2024,HB24-1153,Physician Continuing Education
"Aponte Public Affairs, Inc.",Colorado Radiological Society (CRS),Opposing,02/16/2024,04/25/2024,HB24-1153,Physician Continuing Education
"Aponte Public Affairs, Inc.",Colorado Society of Anesthesiology (CSA),Amending,02/25/2024,04/25/2024,HB24-1153,Physician Continuing Education
Emma Hudson Consulting LLC,Colorado Academy of Family Physicians,Amending,02/15/2024,04/07/2024,HB24-1153,Physician Continuing Education
"Biehle, Ryan",Colorado Academy of Family Physicians,Amending,02/12/2024,04/04/2024,HB24-1153,Physician Continuing Education
"Novel Strategies, LLC",Colorado Academy of Family Physicians,Amending,02/12/2024,04/04/2024,HB24-1153,Physician Continuing Education
BRANDEBERRY MCKENNA PUBLIC AFFAIRS,Colorado Hospital Association,Amending,02/09/2024,04/01/2024,HB24-1153,Physician Continuing Education
"BRANDEBERRY, JENIFER",Colorado Hospital Association,Amending,02/09/2024,04/01/2024,HB24-1153,Physician Continuing Education
"Frazier, Bridget",Colorado Hospital Association,Amending,02/09/2024,04/01/2024,HB24-1153,Physician Continuing Education
"MCKENNA, JULIE",Colorado Hospital Association,Amending,02/09/2024,04/01/2024,HB24-1153,Physician Continuing Education
"Retzko, Heather",University of Colorado,,04/01/2024,03/31/2024,HB24-1153,Physician Continuing Education
"Brownstein Hyatt Farber Schreck, LLP",AdventHealth,Amending,02/20/2024,03/27/2024,HB24-1153,Physician Continuing Education
"Jones, Abby M",AdventHealth,Amending,02/20/2024,03/27/2024,HB24-1153,Physician Continuing Education
"KUIPERS, MELISSA L",AdventHealth,Amending,02/20/2024,03/27/2024,HB24-1153,Physician Continuing Education
"Meeks, Jia",AdventHealth,Amending,02/20/2024,03/27/2024,HB24-1153,Physician Continuing Education
"Reveley, Cooper",AdventHealth,Amending,02/26/2024,03/27/2024,HB24-1153,Physician Continuing Education
"Whelan, Sloane",AdventHealth,Amending,02/20/2024,03/27/2024,HB24-1153,Physician Continuing Education
"Aponte Public Affairs, Inc.",American Academy of Pediatrics ( AAP),Amending,02/15/2024,03/26/2024,HB24-1153,Physician Continuing Education
"Fearn, Austin",American Academy of Pediatrics (AAP),Amending,02/20/2024,03/26/2024,HB24-1153,Physician Continuing Education
"Aponte Public Affairs, Inc.",Children's Hospital Colorado (CHCO),Amending,02/15/2024,03/26/2024,HB24-1153,Physician Continuing Education
"Fearn, Austin",Children's Hospital Colorado (CHCO),Amending,02/20/2024,03/26/2024,HB24-1153,Physician Continuing Education
REES CONSULTING AND PUBLIC AFFAIRS,Common Spirit,Amending,02/12/2024,03/25/2024,HB24-1153,Physician Continuing Education
"Staberg, Christine R",Intermountain Healthcare,Amending,02/09/2024,03/25/2024,HB24-1153,Physician Continuing Education
"The Capstone Group, LLC",Intermountain Healthcare,Amending,02/09/2024,03/25/2024,HB24-1153,Physician Continuing Education
Cavan Consulting,Craig Hospital,Amending,02/20/2024,03/22/2024,HB24-1153,Physician Continuing Education
"Hogan, Mary K",HCA Management Services,Amending,02/12/2024,03/15/2024,HB24-1153,Physician Continuing Education
"Pike, Erica",Colorado Academy of Family Physicians,Amending,02/12/2024,03/08/2024,HB24-1153,Physician Continuing Education
Denver Health,Denver Health,Amending,02/15/2024,03/08/2024,HB24-1153,Physician Continuing Education
"Gold Leaf Strategies, LLC",Colorado Association of Family Medicine Residencies/Colorado Commission on Family Medicine,Amending,02/02/2024,03/05/2024,HB24-1153,Physician Continuing Education
"Wolf, Kathryn",Denver Health,Amending,02/15/2024,03/05/2024,HB24-1153,Physician Continuing Education
"Retzko, Heather",University of Colorado,,03/01/2024,02/29/2024,HB24-1153,Physician Continuing Education
"Retzko, Heather",University of Colorado,,02/01/2024,02/29/2024,HB24-1153,Physician Continuing Education
"BUSAM, EDIE A",Colorado Society of Anesthesiologists (CSA),Monitoring,01/30/2024,02/25/2024,HB24-1153,Physician Continuing Education
"Aponte Public Affairs, Inc.",Colorado Society of Anesthesiology (CSA),Monitoring,01/30/2024,02/25/2024,HB24-1153,Physician Continuing Education
"Aponte Public Affairs, Inc.",Colorado Radiological Society (CRS),Monitoring,01/30/2024,02/16/2024,HB24-1153,Physician Continuing Education
"BUSAM, EDIE A",Colorado Radiological Society (CRS),Monitoring,01/30/2024,02/16/2024,HB24-1153,Physician Continuing Education
REES CONSULTING AND PUBLIC AFFAIRS,Common Spirit,Monitoring,02/04/2024,02/12/2024,HB24-1153,Physician Continuing Education
"Retzko, Heather",University of Colorado,,01/01/2024,01/31/2024,HB24-1153,Physician Continuing Education
"Moldovan, Karen",AARP,Monitoring,02/20/2024,06/30/2024,SB24-124,Health-Care Coverage for Biomarker Testing
BRANDEBERRY MCKENNA PUBLIC AFFAIRS,ACS CAN,Supporting,02/07/2024,06/30/2024,SB24-124,Health-Care Coverage for Biomarker Testing
"BRANDEBERRY, JENIFER",ACS CAN,Supporting,02/07/2024,06/30/2024,SB24-124,Health-Care Coverage for Biomarker Testing
"MCKENNA, JULIE",ACS CAN,Supporting,02/07/2024,06/30/2024,SB24-124,Health-Care Coverage for Biomarker Testing
"Mizer, Susanna",ACS CAN,Supporting,02/06/2024,06/30/2024,SB24-124,Health-Care Coverage for Biomarker Testing
"Steinemann, Mollie",ACS CAN,Supporting,02/06/2024,06/30/2024,SB24-124,Health-Care Coverage for Biomarker Testing
"Wagner, Megan",ACS CAN,Supporting,02/07/2024,06/30/2024,SB24-124,Health-Care Coverage for Biomarker Testing
"TRAYLOR, KATHLEEN K.",AMGEN,Amending,04/24/2024,06/30/2024,SB24-124,Health-Care Coverage for Biomarker Testing
"Gottlieb, Darbi",Advanced Medical Technology Association (AdvaMed),Supporting,03/01/2024,06/30/2024,SB24-124,Health-Care Coverage for Biomarker Testing
Forbes Tate Partners LLC,"Alexion Pharmaceuticals, Inc.",Monitoring,04/01/2024,06/30/2024,SB24-124,Health-Care Coverage for Biomarker Testing
"Palmer, Steven","Alexion Pharmaceuticals, Inc.",Monitoring,04/01/2024,06/30/2024,SB24-124,Health-Care Coverage for Biomarker Testing
"Rodriguez, Luis Armando","Alexion Pharmaceuticals, Inc.",Monitoring,02/07/2024,06/30/2024,SB24-124,Health-Care Coverage for Biomarker Testing
"Ours, Ronald Jacob",American Cancer Society Cancer Action Network,Supporting,02/06/2024,06/30/2024,SB24-124,Health-Care Coverage for Biomarker Testing
"Torres, Nicholas",American Lung Association,Supporting,02/07/2024,06/30/2024,SB24-124,Health-Care Coverage for Biomarker Testing
"Horn, Melissa Noelle",Arthritis Foundation,Supporting,02/01/2024,06/30/2024,SB24-124,Health-Care Coverage for Biomarker Testing
Peak Government Affairs LTD.,Astellas Pharma Inc.,Supporting,02/06/2024,06/30/2024,SB24-124,Health-Care Coverage for Biomarker Testing
OnTheBallot Consulting,"Astellas Pharma US, Inc.",Supporting,03/12/2024,06/30/2024,SB24-124,Health-Care Coverage for Biomarker Testing
"Gold Dome Access, LLC",Biotechnology Innovation Organization,Amending,05/03/2024,06/30/2024,SB24-124,Health-Care Coverage for Biomarker Testing
"Warren, Brian",Biotechnology Innovation Organization,Amending,05/06/2024,06/30/2024,SB24-124,Health-Care Coverage for Biomarker Testing
"Warren, Brian",Biotechnology Innovation Organization,Amending,05/06/2024,06/30/2024,SB24-124,Health-Care Coverage for Biomarker Testing
"Brownstein Hyatt Farber Schreck, LLP",Bristol-Myers Squibb,Amending,05/02/2024,06/30/2024,SB24-124,Health-Care Coverage for Biomarker Testing
"Jones, Abby M",Bristol-Myers Squibb,Amending,05/02/2024,06/30/2024,SB24-124,Health-Care Coverage for Biomarker Testing
"Mercer, Sarah",Bristol-Myers Squibb,Amending,05/02/2024,06/30/2024,SB24-124,Health-Care Coverage for Biomarker Testing
"Gold Leaf Strategies, LLC",CVS Health,Amending,04/10/2024,06/30/2024,SB24-124,Health-Care Coverage for Biomarker Testing
Emma Hudson Consulting LLC,Chronic Care Collaborative,Supporting,02/28/2024,06/30/2024,SB24-124,Health-Care Coverage for Biomarker Testing
"Furman, Daniel","Cigna Corporate Services, LLC",Monitoring,02/26/2024,06/30/2024,SB24-124,Health-Care Coverage for Biomarker Testing
"Hall & Evans, LLC","Cigna Corporate Services, LLC",Monitoring,02/26/2024,06/30/2024,SB24-124,Health-Care Coverage for Biomarker Testing
"Snow, Erin E","Cigna Corporate Services, LLC",Monitoring,02/26/2024,06/30/2024,SB24-124,Health-Care Coverage for Biomarker Testing
"Wager, Jacob W","Cigna Corporate Services, LLC",Monitoring,02/26/2024,06/30/2024,SB24-124,Health-Care Coverage for Biomarker Testing
"Arnold, Brandon",Colorado Association of Health Plans,Opposing,02/26/2024,06/30/2024,SB24-124,Health-Care Coverage for Biomarker Testing
"JLH Consulting & Public Affairs, LLC",Colorado Association of Health Plans,Opposing,02/25/2024,06/30/2024,SB24-124,Health-Care Coverage for Biomarker Testing
Cherry Point Strategies,Colorado Chapter College of Emergency Physicans,Monitoring,02/11/2024,06/30/2024,SB24-124,Health-Care Coverage for Biomarker Testing
"Capitol Focus, LLC",Colorado Employer Benefit Trust,Monitoring,02/06/2024,06/30/2024,SB24-124,Health-Care Coverage for Biomarker Testing
"Gates, Landon",Colorado Employer Benefit Trust,Monitoring,02/06/2024,06/30/2024,SB24-124,Health-Care Coverage for Biomarker Testing
"Herzberg, Brock",Colorado Employer Benefit Trust,Monitoring,02/06/2024,06/30/2024,SB24-124,Health-Care Coverage for Biomarker Testing
Cherry Point Strategies,Colorado Medical Society,Monitoring,02/11/2024,06/30/2024,SB24-124,Health-Care Coverage for Biomarker Testing
Cherry Point Strategies,Colorado Orthopedics Society,Monitoring,02/11/2024,06/30/2024,SB24-124,Health-Care Coverage for Biomarker Testing
"Gall, Amanda Leigh",Colorado Pharmacists Society,Supporting,02/15/2024,06/30/2024,SB24-124,Health-Care Coverage for Biomarker Testing
"Hodge, Adeline Elisabeth",Colorado Pharmacists Society,Supporting,02/15/2024,06/30/2024,SB24-124,Health-Care Coverage for Biomarker Testing
Meridian Public Affairs LLC,Colorado Pharmacists Society,Supporting,02/15/2024,06/30/2024,SB24-124,Health-Care Coverage for Biomarker Testing
"Orrange Political Strategies, LLC","Elevance Health, and its Affiliates dba Anthem, Inc.",Opposing,02/28/2024,06/30/2024,SB24-124,Health-Care Coverage for Biomarker Testing
"WEISS, REBECCA L","Elevance Health, and its Affiliates dba Anthem, Inc.",Opposing,02/29/2024,06/30/2024,SB24-124,Health-Care Coverage for Biomarker Testing
"Bassaly, Sonya","GENENTECH, INC., A MEMBER OF THE ROCHE GROUP",Amending,04/24/2024,06/30/2024,SB24-124,Health-Care Coverage for Biomarker Testing
"Gates, Landon","Genentech, A Member of the Roche Group",Amending,04/23/2024,06/30/2024,SB24-124,Health-Care Coverage for Biomarker Testing
"Capitol Focus, LLC","Genentech, A member of the Roche Group",Amending,04/23/2024,06/30/2024,SB24-124,Health-Care Coverage for Biomarker Testing
"Herzberg, Brock","Genentech, A member of the Roche Group",Amending,04/23/2024,06/30/2024,SB24-124,Health-Care Coverage for Biomarker Testing
"Berry, Travis David",KAISER PERMANENTE,Amending,02/14/2024,06/30/2024,SB24-124,Health-Care Coverage for Biomarker Testing
Politicalworks,KAISER PERMANENTE,Amending,02/14/2024,06/30/2024,SB24-124,Health-Care Coverage for Biomarker Testing
"Groves, Shannon E",Kaiser Foundation Health Plan,Amending,02/14/2024,06/30/2024,SB24-124,Health-Care Coverage for Biomarker Testing
"Dubray, Megan",Merck Sharp & Dohme LLC.,Amending,04/23/2024,06/30/2024,SB24-124,Health-Care Coverage for Biomarker Testing
"Howes, Angela Baker",Merck Sharpe & Dohme Corporation,Amending,04/24/2024,06/30/2024,SB24-124,Health-Care Coverage for Biomarker Testing
"Knutson, Jessica",National Marrow Donor Program (NMDP),Supporting,04/11/2024,06/30/2024,SB24-124,Health-Care Coverage for Biomarker Testing
"MARCHUN, MARY E",Novartis Pharmaceutical Corporation,Supporting,03/07/2024,06/30/2024,SB24-124,Health-Care Coverage for Biomarker Testing
"Nuechterlein, Samantha Anne",Novartis Service Inc,Supporting,03/07/2024,06/30/2024,SB24-124,Health-Care Coverage for Biomarker Testing
"The Capstone Group, LLC",Novartis Service Inc,Supporting,03/07/2024,06/30/2024,SB24-124,Health-Care Coverage for Biomarker Testing
BRANDEBERRY MCKENNA PUBLIC AFFAIRS,Pfizer,Supporting,02/12/2024,06/30/2024,SB24-124,Health-Care Coverage for Biomarker Testing
"BRANDEBERRY, JENIFER",Pfizer,Supporting,02/12/2024,06/30/2024,SB24-124,Health-Care Coverage for Biomarker Testing
"MCKENNA, JULIE",Pfizer,Supporting,02/12/2024,06/30/2024,SB24-124,Health-Care Coverage for Biomarker Testing
"Steinemann, Mollie",Pfizer,Supporting,02/10/2024,06/30/2024,SB24-124,Health-Care Coverage for Biomarker Testing
"Capitol Focus, LLC",Rocky Mountain Cancer Centers,Monitoring,02/06/2024,06/30/2024,SB24-124,Health-Care Coverage for Biomarker Testing
"Gates, Landon",Rocky Mountain Cancer Centers,Monitoring,02/06/2024,06/30/2024,SB24-124,Health-Care Coverage for Biomarker Testing
"Herzberg, Brock",Rocky Mountain Cancer Centers,Monitoring,02/06/2024,06/30/2024,SB24-124,Health-Care Coverage for Biomarker Testing
"Mendez, Barkis and Associates",RxPlus Pharmacies,Monitoring,03/15/2024,06/30/2024,SB24-124,Health-Care Coverage for Biomarker Testing
"Mendez, Florangel M",RxPlus Pharmacies,Monitoring,03/15/2024,06/30/2024,SB24-124,Health-Care Coverage for Biomarker Testing
"Wagner Morgan Strategies, LLC",Susan G. Komen Colorado,Supporting,02/26/2024,06/30/2024,SB24-124,Health-Care Coverage for Biomarker Testing
"Capitol Focus, LLC","UCB, Inc.",Monitoring,02/06/2024,06/30/2024,SB24-124,Health-Care Coverage for Biomarker Testing
"Gates, Landon","UCB, Inc.",Monitoring,02/06/2024,06/30/2024,SB24-124,Health-Care Coverage for Biomarker Testing
"Herzberg, Brock","UCB, Inc.",Monitoring,02/06/2024,06/30/2024,SB24-124,Health-Care Coverage for Biomarker Testing
"TIBBALS, KAYLA",United Health Care/United Health Group,Opposing,02/09/2024,06/30/2024,SB24-124,Health-Care Coverage for Biomarker Testing
"O'Connell, Daniel T.","United HealthCare Services, Inc.",Opposing,02/09/2024,06/30/2024,SB24-124,Health-Care Coverage for Biomarker Testing
"Miller, Paul","Astellas Pharma US, Inc.",Supporting,03/14/2024,06/28/2024,SB24-124,Health-Care Coverage for Biomarker Testing
"Swan, Sarah Ehrlich",Bristol Myers Squibb,Amending,05/03/2024,05/31/2024,SB24-124,Health-Care Coverage for Biomarker Testing
"Donlin, Johanna Michelle",Colorado Department of Health Care Policy and Financing,,06/01/2024,05/31/2024,SB24-124,Health-Care Coverage for Biomarker Testing
"Riester, Jefferey",Colorado Department of Law,,02/01/2024,05/31/2024,SB24-124,Health-Care Coverage for Biomarker Testing
"Gorenc, Matthew A",Colorado Department of Regulatory Agencies,,03/01/2024,05/31/2024,SB24-124,Health-Care Coverage for Biomarker Testing
"PENN, JENNIFER L.",National Assoc. of Benefits & Insurance Professionals (NABIP),Monitoring,02/07/2024,05/20/2024,SB24-124,Health-Care Coverage for Biomarker Testing
76 Group,Boehringer - Ingelheim,Supporting,03/01/2024,05/17/2024,SB24-124,Health-Care Coverage for Biomarker Testing
"ZAMBRANO, JAKE",Boehringer - Ingelheim,Supporting,03/01/2024,05/17/2024,SB24-124,Health-Care Coverage for Biomarker Testing
"Flores, Beau",Boehringer-Ingelheim,Supporting,03/01/2024,05/17/2024,SB24-124,Health-Care Coverage for Biomarker Testing
"Gist, Sarah C",Boehringer-Ingelheim,Supporting,03/01/2024,05/17/2024,SB24-124,Health-Care Coverage for Biomarker Testing
"Young, Saskia",Colorado Association of Health Plans,Opposing,02/26/2024,05/15/2024,SB24-124,Health-Care Coverage for Biomarker Testing
"Medeiros, Jonathan",Pfizer Inc.,Supporting,02/14/2024,05/09/2024,SB24-124,Health-Care Coverage for Biomarker Testing
Colorado Legislative Strategies,AMGEN,Amending,04/24/2024,05/08/2024,SB24-124,Health-Care Coverage for Biomarker Testing
"LAYTON, MELANIE M.",AMGEN,Amending,04/24/2024,05/08/2024,SB24-124,Health-Care Coverage for Biomarker Testing
"VORTHMANN, GARIN",AMGEN,Amending,04/24/2024,05/08/2024,SB24-124,Health-Care Coverage for Biomarker Testing
"Wood, Andrew T.",Amgen,Amending,04/24/2024,05/08/2024,SB24-124,Health-Care Coverage for Biomarker Testing
"Woodhouse, Caroline",Amgen,Amending,04/24/2024,05/08/2024,SB24-124,Health-Care Coverage for Biomarker Testing
Colorado Legislative Strategies,Colorado BioScience Association,Amending,04/26/2024,05/08/2024,SB24-124,Health-Care Coverage for Biomarker Testing
"LAYTON, MELANIE M.",Colorado BioScience Association,Amending,04/26/2024,05/08/2024,SB24-124,Health-Care Coverage for Biomarker Testing
"VORTHMANN, GARIN",Colorado BioScience Association,Amending,04/26/2024,05/08/2024,SB24-124,Health-Care Coverage for Biomarker Testing
"Wood, Andrew T.",Colorado BioScience Association,Amending,04/26/2024,05/08/2024,SB24-124,Health-Care Coverage for Biomarker Testing
"Woodhouse, Caroline",Colorado BioScience Association,Amending,04/26/2024,05/08/2024,SB24-124,Health-Care Coverage for Biomarker Testing
"Warren, Brian",Biotechnology Innovation Organization,Supporting,04/10/2024,05/06/2024,SB24-124,Health-Care Coverage for Biomarker Testing
"Gold Dome Access, LLC",Biotechnology Innovation Organization,Supporting,04/08/2024,05/03/2024,SB24-124,Health-Care Coverage for Biomarker Testing
"Brownstein Hyatt Farber Schreck, LLP",Bristol-Myers Squibb,Supporting,02/06/2024,05/02/2024,SB24-124,Health-Care Coverage for Biomarker Testing
"Jones, Abby M",Bristol-Myers Squibb,Supporting,02/06/2024,05/02/2024,SB24-124,Health-Care Coverage for Biomarker Testing
"Mercer, Sarah",Bristol-Myers Squibb,Supporting,02/06/2024,05/02/2024,SB24-124,Health-Care Coverage for Biomarker Testing
"Cosway, Coral",Alzheimer's Association of Colorado,Supporting,02/07/2024,04/30/2024,SB24-124,Health-Care Coverage for Biomarker Testing
"Donlin, Johanna Michelle",Colorado Department of Health Care Policy and Financing,,02/01/2024,04/30/2024,SB24-124,Health-Care Coverage for Biomarker Testing
Colorado Legislative Strategies,Colorado BioScience Association,Supporting,02/09/2024,04/26/2024,SB24-124,Health-Care Coverage for Biomarker Testing
"LAYTON, MELANIE M.",Colorado BioScience Association,Supporting,02/09/2024,04/26/2024,SB24-124,Health-Care Coverage for Biomarker Testing
"VORTHMANN, GARIN",Colorado BioScience Association,Supporting,02/09/2024,04/26/2024,SB24-124,Health-Care Coverage for Biomarker Testing
