billName,longTitle,Bill #,session,subjects,primeSponsors,committees,summary,approved,effective,vetoed
Overdose Prevention Centers,Concerning the authorization for a municipality to allow for the operation of an overdose prevention center within its jurisdiction.,HB24-1028,2024 Regular Session,"['Health Care & Health Insurance', 'Local Government']","['Elisabeth Epps', 'Kevin Priola']","{'House': ['Health & Human Services'], 'Senate': ['Health & Human Services']}","The bill specifies that the governing body of a municipality, which includes a city, town, and city and county, may authorize the operation of an overdose prevention center within the municipality's boundaries for the purpose of saving the lives of persons at risk of preventable overdoses. (Note: This summary applies to the reengrossed version of this bill as introduced in the second house.) ",False,False,False
Health Insurers Contract with Qualified Providers,Concerning contract requirements between primary care providers and other health-care organizations.,HB24-1005,2024 Regular Session,"['Subject:', 'Health Care & Health Insurance']","['Chris deGruy Kennedy', 'David Ortiz', 'Dylan Roberts', 'Rhonda Fields']","{'House': ['Health & Human Services'], 'Senate': ['Health & Human Services']}","With certain exceptions, for health benefit plans that are issued or renewed on or after January 1, 2027, the bill requires a health-care insurance carrier (carrier) to include a primary care provider as a participating provider in all networks, including narrow networks and all tiers of tiered networks, of the carrier's health benefit plan if the primary care provider is: Licensed to practice in Colorado; Certified or accredited by a national association for the certification or accreditation of primary care providers; Enrolled in an alternative payment model; and Credentialed by federal law to receive reimbursement for the provision of care to patients receiving benefits from medicaid. On or before December 31, 2025, the commissioner of insurance must promulgate rules to implement the bill, including rules: Establishing criteria and a process for determining whether a primary care provider meets the criteria; and Establishing a schedule for contracted reimbursements issued to primary care providers who participate in a health benefit plan. The division of insurance must contract with an actuary to determine a minimum reimbursement schedule for alternative payment models. The schedule: Must ensure that primary care providers are reimbursed at rates that are at least equal to the reimbursement rates established in law for purposes of the Colorado standardized health benefit plan; Must include adjustments for regional cost of living variations; and May include incentives for integration of behavioral health-care services and comprehensive care coordination services. If a carrier and a primary care provider do not negotiate and agree to terms of reimbursement, the carrier must compensate the primary care provider in accordance with the schedule for contracted reimbursements established by rule. If a primary care provider employed by a medical group or hospital system leaves the medical group or hospital system to establish an independent practice, the primary care provider may communicate with patients about continuing to see them in the new practice. Under current law, any covenant not to compete provision of an employment, partnership, or corporate agreement between physicians that restricts the right of a physician to practice medicine upon termination of the agreement is void; except that all other provisions of the agreement, including provisions that require the payment of damages in an amount that is reasonably related to the injury suffered by reason of termination of the agreement, are enforceable. Provisions of a covenant not to compete that require the payment of damages upon termination of the agreement may include damages related to competition. The bill: Establishes exceptions to the general prohibition on covenant not to compete provisions; Broadens the scope of the prohibition to apply to any agreement rather than applying only to employment, partnership, and corporate agreements between physicians; Narrows the existing exception to the prohibition to apply only to provisions that require the payment of damages in an amount that is reasonably related to the injury suffered due to a breach, rather than a termination, of the agreement; and Prohibits including in an agreement any of several provisions that require payment of certain types of damages. (Note: Italicized words indicate new material added to the original summary; dashes through words indicate deletions from the original summary.) (Note: This summary applies to the reengrossed version of this bill as introduced in the second house.) ",False,False,False
Protect Privacy of Biological Data,"Concerning protecting the privacy of individuals' biological data, and, in connection therewith, protecting the privacy of neural data and expanding the scope of the ""Colorado Privacy Act"" accordingly.",HB24-1058,2024 Regular Session,"['Subject:', 'Health Care & Health Insurance']","['Cathy Kipp', 'Matt Soper', 'Mark Baisley', 'Kevin Priola']","{'House': ['Judiciary'], 'Senate': ['Business, Labor, & Technology']}","In 2021, the general assembly enacted Senate Bill 21-190, concerning additional protection of data relating to personal privacy, which established the ""Colorado Privacy Act"" (privacy act) as part of the ""Colorado Consumer Protection Act"". The privacy act protects the privacy of individuals' personal data by establishing certain requirements for entities that process personal data. The privacy act also describes certain rights that consumers may exercise regarding the processing of their personal data. The privacy act includes additional protections for sensitive data. For the purposes of the privacy act, the act expands the definition of ""sensitive data"" to include biological data, which is data generated by the technological processing, measurement, or analysis of an individual's biological, genetic, biochemical, physiological, or neural properties, compositions, or activities or of an individual's body or bodily functions, which data is used or intended to be used, singly or in combination with other personal data, for identification purposes. Biological data includes neural data, which is information that is generated by the measurement of the activity of an individual's central or peripheral nervous systems and that can be processed by or with the assistance of a device. ","April 17, 2024","August 7, 2024",False
Prescription Drug Affordability Board Exempt Orphan Drugs,Concerning exempting certain drugs from the purview of the Colorado prescription drug affordability review board.,SB24-060,2024 Regular Session,"['Subject:', 'Health Care & Health Insurance']","['Barbara Kirkmeyer', 'Joann Ginal', 'Anthony Hartsook']","{'House': [], 'Senate': ['State, Veterans, & Military Affairs']}","The bill states that the Colorado prescription drug affordability review board has no authority to perform an affordability review of, or to establish an upper payment limit for, any prescription drug that is designated as a drug for a rare disease or condition by the federal food and drug administration. (Note: This summary applies to this bill as introduced.) ",False,False,False
Creating a Drug Donation Program,Concerning the creation of a Colorado drug donation program.,SB24-061,2024 Regular Session,"['Health Care & Health Insurance', 'Professions & Occupations', 'Public Health']",['Robert Rodriguez'],"{'House': [], 'Senate': ['Health & Human Services', 'Appropriations']}","The bill creates the Colorado drug donation program (program) to facilitate the safe donation and redispensing of medicine, including prescription and nonprescription or over-the-counter drugs, FDA-approved drugs labeled for investigational use, and medical devices. Under the program, a donor donates medicine to a donation recipient for redispensing to eligible patients. Donated medicine is prioritized first for Colorado residents who are indigent, uninsured, underinsured, or enrolled in a public health benefits program (eligible patient). An eligible patient or the patient's health insurance is not charged for the medicine, other than handling or dispensing charges and other customary charges. Donors may include individual members of the public as well as drug manufacturers and distributors, pharmacies, clinics, health centers, government agencies, and other donors described in the bill (donor). Donors may donate to a donation recipient, including a wholesaler or distributor, hospital, pharmacy, clinic, and health-care provider or prescriber's office, among other entities (donation recipient). The donation recipient may: Transfer donated medicine to another donation recipient; and If the donation recipient is a prescription drug outlet, repackage donated medicine as necessary for storage, redispensing, administration, or transfer or replenish medicine previously dispensed to eligible patients. The bill includes provisions relating to: Record-keeping requirements for donated medicine; The type, condition, and age of medicine that may be donated; The segregation of medicine and inspection by a licensed pharmacist before medicine is accepted into inventory; The disposal of medicine that does not meet donation standards; and The repackaging, labeling, and redispensing of medicine to eligible patients. The state board of pharmacy is required to promulgate rules necessary to implement the program. When acting in good faith, without willful or wanton misconduct, the state board of pharmacy, donors, donation recipients, and other individuals and entities involved in the program are not subject to civil or criminal liability or professional disciplinary action relating to their participation in the program. The bill makes conforming amendments to existing law relating to the reuse of unused medications by other patients in correctional facilities and in certain licensed facilities, such as hospitals, hospices, and assisted living facilities. (Note: This summary applies to this bill as introduced.) ",False,False,False
Continuity of Health-Care Coverage Change,Concerning the continuity of health-care benefits during the transition to a new health benefit plan when the enrollees's health-care provider does not have a contract with the new health insurance carrier.,SB24-093,2024 Regular Session,"['Subject:', 'Health Care & Health Insurance']","['Dafna Michaelson Jenet', 'Judy Amabile']","{'House': ['Health & Human Services'], 'Senate': ['Health & Human Services']}",The act allows an enrollee in the state medicaid program or with a private health insurance carrier whose coverage has been terminated or not renewed to receive continued care with the enrollee's same health-care provider or health-care facility under the enrollee's new health benefit plan at the in-network level under the enrollee's new health benefit plan for specified time periods if certain conditions exist. ,"April 4, 2024","January 1, 2025",False
Modernize Health Benefit Exchange Governance,"Concerning technical modifications to the laws governing the Colorado health benefit exchange, and, in connection therewith, modifying the criteria for membership on and the number of meetings of the Colorado health insurance exchange oversight committee, adjusting the timeline for certain reports and presentations regarding the operations of the exchange, and directing the exchange to annually present its financial and operational plans and major board actions to the committee.",HB24-1035,2024 Regular Session,"['Subject:', 'Health Care & Health Insurance']","['Andrew Boesenecker', 'Iman Jodeh', 'Sonya Jaquez Lewis', 'Perry Will']","{'House': ['Health & Human Services'], 'Senate': ['Health & Human Services']}","The act modifies provisions governing the Colorado health benefit exchange (exchange) by: Eliminating the requirement for the board of directors of the exchange (board) to submit a report on the development of the exchange to the governor and the general assembly by January 15 and instead requiring the report to be submitted annually and to address open enrollment; Requiring the board to also present an open enrollment update to specified legislative committees during each legislative session; Requiring the exchange, rather than the board, to annually present to the Colorado health insurance exchange oversight committee (committee) the exchange's financial and operational plans and the major actions taken by the board; and Modifying the number of meetings of the committee during the interim. ","April 4, 2024","August 7, 2024",False
Operation of Denver Health & Hospital Authority,Concerning the operation of the Denver health and hospital authority.,HB24-1086,2024 Regular Session,"['Subject:', 'Health Care & Health Insurance']","['Richard Holtorf', 'Judy Amabile', 'Dafna Michaelson Jenet']","{'House': ['Health & Human Services'], 'Senate': ['Health & Human Services']}","Current law requires the department of health care policy and financing (department) to offer to enter into a direct contract with the managed care organization (MCO) operated by or under the control of the Denver health and hospital authority (Denver health) until Denver health ceases to operate a medicaid managed care program or until June 30, 2025. The act removes the option for the department to enter into a direct contract until June 30, 2025, and instead requires the department to enter into the contract from July 1, 2025, until June 30, 2032, as long as the MCO meets all MCO criteria required by the department. If the department designates a managed care entity (MCE) other than the MCO operated by Denver health to manage behavioral health-care services, the act requires Denver health to collaborate with the MCE during the term of the contract. The act prohibits the MCO from reimbursing contracted medicaid providers at rates that are higher than the department's medicaid fee for service rates unless the provider enters into a quality incentive agreement with the MCO. For the 2023-24 state fiscal year, the department distributed money appropriated for a supplemental state payment to Denver health. The act authorizes the department to continually distribute any money appropriated for payment to Denver health. ","April 4, 2024","April 4, 2024",False
Gender-Affirming Health-Care Provider Study,Concerning a study of the status of gender-affirming health-care providers.,HB24-1040,2024 Regular Session,"['Health Care & Health Insurance', 'Public Health']","['Stephanie Vigil', 'Karen McCormick', 'Janice Marchman', 'Faith Winter']","{'House': ['Health & Human Services'], 'Senate': []}","Colorado Youth Advisory Council Review Committee. The bill requires the department of public health and environment (department) to conduct or cause to be conducted a gender-affirming health-care provider study (study). The study must determine: The number of gender-affirming health-care providers and facilities in each region, without disclosing identities of providers; The resources available to gender-affirming health-care providers and facilities in the state; Threats to gender-affirming health-care providers; The number of patients seeking gender-affirming health-care services in each region, including the ratio of patients to providers in each region, without disclosing identities of patients or providers; The types of gender-affirming health-care services that patients seek; The prevalence and impact of nonprescribed treatments; and The availability of insurance coverage for different types of treatment. The bill requires the department and any third party that the department contracts with to conduct the study to seek input from specified persons. The department is required to submit a report on or before December 31, 2026, including its findings and recommendations, to specified committees of the general assembly. (Note: This summary applies to this bill as introduced.) ",False,False,False
Veterinary Technician Scope of Practice,"Concerning the scope of practice for veterinary technicians, and, in connection therewith, directing the state board of veterinary medicine to promulgate rules regarding the supervision of and the delegation of certain tasks to veterinary technicians, veterinary technician specialists, or other personnel by a licensed veterinarian and establishing a veterinary technician specialist designation.",HB24-1047,2024 Regular Session,"['Health Care & Health Insurance', 'Professions & Occupations']","['Karen McCormick', 'Marc Catlin', 'Dylan Roberts', 'Cleave Simpson']","{'House': ['Agriculture, Water & Natural Resources'], 'Senate': ['Agriculture & Natural Resources']}","On or before September 1, 2025, the board of veterinary medicine (board) is required to promulgate rules establishing certain tasks that a licensed veterinarian may delegate to veterinary technicians and veterinary technician specialists and the recommended level of supervision for the tasks. A licensed veterinarian may delegate tasks pursuant to the board's rules after first establishing a veterinarian-client-patient relationship with an animal or group of animals and the owner of the animal or animals. The licensed veterinarian is required to provide an appropriate level of supervision of the veterinary technician or veterinary technician specialist in accordance with applicable rules of the board. If there are not applicable rules related to the specific task that is being delegated, the veterinarian may delegate the task based on the assessment of the veterinary medical care being provided, the experience, education, and training of the person providing the care, and in compliance with all state and federal laws. Beginning on January 1, 2026, the act authorizes a veterinary technician to apply to the board to receive a veterinary technician specialist designation as part of the veterinary technician's registration, grants title protection for veterinary technician specialists, and prohibits the unauthorized practice as a veterinary technician specialist by a person who does not have a veterinary technician specialist designation. ","March 22, 2024","August 7, 2024",False
Ground Ambulance Service Rates & Billing,Concerning costs associated with the provision of ground ambulance services.,HB24-1218,2024 Regular Session,"['Health Care & Health Insurance', 'Local Government']","['Karen McCormick', 'Matt Soper', 'Kyle Mullica', 'Mark Baisley']","{'House': ['Health & Human Services'], 'Senate': []}","For ground ambulance services, the bill: Allows a political subdivision, or an ambulance service providing ambulance services on behalf of the political subdivision, to submit to the division of insurance the established rates for the ambulance services; Establishes reimbursement rates for ambulance services that are out-of-network; and Prohibits an out-of-network ambulance service from billing a covered person any outstanding balance for a covered service not paid for by a carrier, except for any coinsurance, deductible, or copayment amount required to be paid by the covered person.(Note: This summary applies to this bill as introduced.) ",False,False,False
Prescription Drug Manufacturer Requirements,Concerning prescription drug manufacturer requirements under the jurisdiction of the commissioner of insurance.,SB24-077,2024 Regular Session,"['Subject:', 'Health Care & Health Insurance']","['Sonya Jaquez Lewis', 'Dafna Michaelson Jenet', 'Karen McCormick']","{'House': [], 'Senate': ['Health & Human Services']}","The bill requires each manufacturer of a prescription drug that is available for purchase in this state (manufacturer) to register with and pay a fee to the division of insurance. The bill requires a manufacturer to offer a copayment assistance program to a covered person, either for the entire plan year or for the calendar year, whichever the deductible and out-of-pocket calculation applies to, for as long as the covered person is enrolled in the health benefit plan. A manufacturer that violates the requirements commits an unfair method of competition and an unfair or deceptive act or practice in the business of insurance. (Note: This summary applies to this bill as introduced.) ",False,False,False
Autism Treatment Fund,Concerning transfers to the autism treatment fund.,HB24-1208,2024 Regular Session,"['Subject:', 'Health Care & Health Insurance']","['Shannon Bird', 'Emily Sirota', 'Jeff Bridges', 'Barbara Kirkmeyer']","{'House': ['Appropriations'], 'Senate': ['Appropriations']}","The autism treatment fund was repealed in 2023, but transfers to the autism treatment fund continue until July 1, 2025. The act retroactively discontinues transfers to the autism treatment fund that occur after the 2022-23 fiscal year. On June 30, 2024, the act requires the state treasurer to transfer any balance remaining in the autism treatment fund to the tobacco litigation settlement cash fund. ","March 6, 2024","March 6, 2024",False
Require Information about Abortion Pill Reversal,"Concerning providing information about abortion pill reversal to people seeking a medication-induced abortion, and, in connection therewith, creating the ""Abortion Pill Reversal Information Act"".",HB24-1106,2024 Regular Session,"['Health Care & Health Insurance', 'Professions & Occupations', 'Public Health']",['Scott Bottoms'],"{'House': ['Health & Human Services'], 'Senate': []}","The bill creates the ""Abortion Pill Reversal Information Act"" (act). The act requires a physician or other qualified medical professional assisting a physician to provide state-prepared information concerning abortion pill reversal, including a telephone number and website address where a pregnant woman can seek resources to obtain abortion pill reversal, to any woman seeking an abortion through the use of an abortion-inducing drug. The physician or other qualified medical professional must provide the information at least 24 hours before the physician prescribes or administers the abortion-inducing drug or induces the abortion. The department of public health and environment is required to maintain the state-prepared information on its public-facing website. The act makes it a deceptive trade practice to fail to provide the required information concerning abortion pill reversal. The act also includes civil penalties and professional discipline for failure to comply with the requirements in the act and allows the general assembly to appoint members to intervene in any lawsuit challenging the constitutionality of the act. (Note: This summary applies to this bill as introduced.) ",False,False,False
Patient's Right to Provider Identification,Concerning provider identification transparency in the delivery of health-care services.,SB24-082,2024 Regular Session,"['Health Care & Health Insurance', 'Professions & Occupations']","['Larry Liston', 'Ron Weinberg']","{'House': [], 'Senate': ['Health & Human Services']}","Beginning January 1, 2025, for services or procedures for which informed consent is required and that are being provided or performed in a licensed health-care facility, the bill requires a health-care provider (provider) providing or performing the service or procedure and the provider obtaining informed consent, if a different provider, to disclose to patients, in writing and through the wearing of a photo identification badge when in a patient's presence, the following identification information relevant to the service or procedure provided or performed: The provider's name; The provider's employer and job title; The provider's academic degree, credentials, or training; and The provider's professional credential issued by the department of regulatory agencies or a professional board or commission. Willful or repeated failure to comply with this requirement constitutes unprofessional conduct or grounds for discipline under the law governing the provider's professional license, certificate, or registration. In addition, the bill requires that health-care facilities licensed or certified in this state require that health-care providers comply with the identification and badge requirements. (Note: This summary applies to this bill as introduced.) ",False,False,False
Medicaid Provider Suspension for Organized Fraud,Concerning authorizing the department of health care policy and financing to suspend a provider's enrollment if the provider is participating in an organized fraud scheme.,HB24-1146,2024 Regular Session,"['Subject:', 'Health Care & Health Insurance']","['Shannon Bird', 'Rick Taggart', 'Jeff Bridges', 'Rachel Zenzinger']","{'House': ['Appropriations'], 'Senate': ['Appropriations']}","The act authorizes the department of health care policy and financing (state department) to suspend the enrollment of a medicaid and children's basic health plan (programs) provider only if the state department identifies that the provider is participating in an alleged and ongoing organized crime or organized fraud scheme (scheme) that impacts the programs and if the state department documents in writing that at least 3 of the following factors are met: The provider has been enrolled in the programs for less than 3 years; At least 3 providers are involved in the scheme; The collective billing amount identified in the scheme exceeds $1 million; The provider's billing indicates a pattern of abuse or noncompliance; The volume of claims or billing amount has increased at a significant rate and there is no other reasonable explanation for the increase; The federal centers for medicare and medicaid services has approved a provider enrollment moratorium for the provider type involved in the scheme; or The state department has notified law enforcement of the scheme. The state department is required to notify the provider of the suspension in writing, including the reasons for the suspension. The state department may suspend a provider's enrollment for an initial period of 6 months while the state department conducts a review of the scheme. After the state department's review is complete, the state department must reinstate the provider's enrollment if the department determines the provider did not engage in a scheme. If the state department's review cannot be completed during the initial 6-month period, the state department may extend the review period in additional 6-month increments if the state department documents in writing the necessity for extending the review. ","February 20, 2024","February 20, 2024",False
Credit for Paid Health Insurance Deductible,Concerning credit for the deductible amount paid by a covered person when a health insurance carrier becomes insolvent.,HB24-1113,2024 Regular Session,"['Subject:', 'Health Care & Health Insurance']","['Kyle Brown', 'Andrew Boesenecker', 'Dylan Roberts']","{'House': ['Health & Human Services'], 'Senate': []}","For small group and individual health benefit plans, if an individual who is entitled to receive benefits or services under a health benefit plan has incurred any out-of-pocket expenses, including payments for a deductible or other coinsurance amount, under the health benefit plan during a plan year, and the individual's health insurance carrier exits the health insurance market and can no longer provide coverage to the individual, the bill requires the individual's new health insurance carrier to credit all of the out-of-pocket expenses paid by the individual in accordance with the original health benefit plan in the given plan year to the new health benefit plan if the individual enrolls in the new health benefit plan in the established special enrollment period. The bill grants rule-making authority to the commissioner of insurance. (Note: This summary applies to this bill as introduced.) ",False,False,False
Workers' Comp for Complex Trauma,Concerning eligibility for workers' compensation benefits for workers diagnosed with posttraumatic stress disorder as the result of complex trauma.,HB24-1140,2024 Regular Session,"['Health Care & Health Insurance', 'Labor & Employment']",['Ron Weinberg'],"{'House': ['Business Affairs & Labor'], 'Senate': []}","For the purpose of determining eligibility for workers' compensation benefits for a mental impairment caused by an accidental injury that consists of a psychologically traumatic event arising out of and sustained in the course of employment, the bill establishes that a worker who, while working, experiences complex trauma that causes posttraumatic stress disorder is experiencing a ""psychologically traumatic event"".(Note: This summary applies to this bill as introduced.) ",False,False,False
